iter	Passed	Remaining
228	2384	8028
229	2395	8020
230	2406	8011
231	2416	7998
232	2428	7992
233	2439	7986
234	2451	7978
235	2462	7971
236	2474	7966
237	2487	7964
238	2499	7959
239	2510	7950
240	2519	7935
241	2529	7921
242	2538	7909
243	2549	7898
244	2559	7886
245	2571	7882
246	2585	7883
247	2596	7873
248	2607	7864
249	2618	7856
250	2629	7847
251	2638	7831
252	2648	7819
253	2659	7809
254	2669	7799
255	2680	7790
256	2692	7782
257	2704	7776
258	2714	7767
259	2725	7755
260	2737	7750
261	2748	7742
262	2758	7729
263	2769	7719
264	2780	7711
265	2790	7700
266	2799	7685
267	2809	7674
268	2818	7658
269	2828	7648
270	2840	7640
271	2849	7626
272	2859	7616
273	2871	7608
274	2880	7594
275	2890	7582
276	2900	7571
277	2909	7556
278	2918	7542
279	2929	7532
280	2938	7520
281	2949	7509
282	2960	7500
283	2970	7489
284	2980	7477
285	2990	7466
286	2999	7452
287	3008	7436
288	3017	7424
289	3028	7414
290	3038	7403
291	3046	7386
292	3057	7377
293	3066	7362
294	3075	7350
295	3086	7340
296	3097	7330
297	3107	7319
298	3117	7309
299	3126	7295
300	3137	7286
301	3147	7275
302	3156	7261
303	3166	7250
304	3175	7236
305	3185	7224
306	3194	7211
307	3204	7200
308	3213	7185
309	3222	7172
310	3232	7160
311	3242	7150
312	3251	7137
313	3262	7127
314	3272	7115
315	3281	7103
316	3292	7093
317	3302	7081
318	3311	7068
319	3320	7055
320	3330	7045
321	3340	7034
322	3351	7024
323	3362	7014
324	3371	7003
325	3382	6993
326	3392	6981
327	3400	6967
328	3410	6955
329	3421	6946
330	3431	6936
331	3442	6925
332	3452	6915
333	3462	6903
334	3471	6890
335	3480	6878
336	3490	6867
337	3500	6855
338	3510	6844
339	3520	6833
340	3529	6820
341	3538	6807
342	3548	6797
343	3558	6785
344	3568	6774
345	3578	6764
346	3588	6752
347	3598	6741
348	3610	6733
349	3619	6722
350	3630	6713
351	3642	6705
352	3652	6695
353	3662	6683
354	3673	6674
355	3683	6663
356	3692	6651
357	3702	6640
358	3713	6629
359	3723	6618
360	3732	6607
361	3743	6597
362	3753	6586
363	3765	6579
364	3776	6570
365	3787	6560
366	3799	6552
367	3811	6545
368	3823	6538
369	3835	6530
370	3846	6520
371	3858	6513
372	3871	6508
373	3883	6500
374	3893	6488
375	3905	6481
376	3917	6472
377	3929	6465
378	3941	6457
379	3952	6449
380	3965	6442
381	3976	6432
382	3987	6423
383	3998	6414
384	4010	6405
385	4022	6398
386	4033	6389
387	4045	6380
388	4057	6372
389	4066	6360
390	4076	6349
391	4087	6339
392	4099	6331
393	4107	6317
394	4119	6309
395	4132	6302
396	4142	6292
397	4152	6280
398	4164	6272
399	4174	6262
400	4185	6251
401	4194	6239
402	4203	6226
403	4212	6214
404	4223	6205
405	4233	6194
406	4245	6185
407	4255	6174
408	4265	6163
409	4275	6152
410	4284	6139
